title,description,category,cloud_provider,severity,is_misconfiguration,public_exposure,privilege_escalation,data_exposure,dos,unencrypted,iam,s3_bucket,ssrf_rce
,GCP Cloud SQL with public IP and weak password.,Authentication,GCP,30,0,1,0,0,0,0,0,0,0
,AWS SNS topic with public publish permissions.,Access Control,AWS,30,0,1,0,0,0,0,1,0,0
,Azure Virtual Machine with exposed management ports.,Network Security,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Service Account with excessive permissions.,IAM Misconfiguration,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Database with public endpoint.,Network Security,Oracle Cloud,30,0,1,0,0,0,0,0,0,0
,IBM Cloud Functions with no authentication.,Access Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba RAM user with full access policy.,IAM Misconfiguration,Alibaba Cloud,0,1,0,0,0,0,0,1,0,0
,AWS DynamoDB with open read/write permissions.,Access Control,AWS,0,0,0,0,0,0,0,1,0,0
,Azure Event Hub with public access.,Network Security,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud Storage bucket with legacy ACLs.,Misconfiguration,GCP,0,1,0,0,0,0,0,0,1,0
,AWS CloudTrail with disabled logging.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure App Service with weak TLS version.,Encryption,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Kubernetes Engine with no network policy.,Network Security,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud File Storage with public share.,Access Control,Oracle Cloud,30,0,1,0,0,0,0,0,0,0
,IBM Cloud VPC with open ingress rules.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba ApsaraDB with public access.,Network Security,Alibaba Cloud,30,0,1,0,0,0,0,0,0,0
,AWS Elastic Beanstalk with outdated runtime.,Patch Management,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Service Bus with shared access key exposure.,Data Exposure,Azure,25,0,0,0,1,0,0,0,0,0
,GCP Dataflow with public pipeline access.,Access Control,GCP,30,0,1,0,0,0,0,0,1,0
,AWS SQS queue with open permissions.,Access Control,AWS,0,0,0,0,0,0,0,1,0,0
,Azure Logic Apps with unauthenticated endpoint.,API Security,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud Run with public invocation.,Access Control,GCP,30,0,1,0,0,0,0,0,0,0
,Oracle Cloud Load Balancer with no SSL.,Encryption,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Databases with weak encryption.,Encryption,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Function Compute with public trigger.,Access Control,Alibaba Cloud,30,0,1,0,0,0,0,0,0,0
,AWS ECS with exposed task definition secrets.,Data Exposure,AWS,55,0,1,0,1,0,0,0,0,0
,Azure Data Lake with public access.,Access Control,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud Composer with open Airflow UI.,Access Control,GCP,0,0,0,0,0,0,0,0,0,0
,AWS Redshift with public access.,Network Security,AWS,30,0,1,0,0,0,0,0,0,0
,AWS IAM role with pass-role privilege escalation.,IAM Misconfiguration,AWS,25,1,0,1,0,0,0,1,0,0
,Azure SQL Database with no encryption at rest.,Encryption,Azure,25,0,0,0,0,0,1,0,0,0
,GCP Cloud Build with public trigger access.,Access Control,GCP,30,0,1,0,0,0,0,0,0,0
,Oracle Cloud VPN with weak encryption protocol.,Encryption,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud IAM with overly broad service access.,IAM Misconfiguration,IBM Cloud,0,1,0,0,0,0,0,1,0,0
,Alibaba Cloud ECS with no security group rules.,Network Security,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS KMS key with public access policy.,Access Control,AWS,30,0,1,0,0,0,0,1,0,0
,Azure Redis Cache with public access enabled.,Network Security,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud DNS with open zone access.,Access Control,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Block Volume with no encryption.,Encryption,Oracle Cloud,25,0,0,0,0,0,1,0,0,0
,IBM Cloud Log Analysis with public endpoint.,Network Security,IBM Cloud,30,0,1,0,0,0,0,0,0,0
,Alibaba Cloud VPC with open routing table.,Network Security,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS EKS with public API server endpoint.,Network Security,AWS,30,0,1,0,0,0,0,0,0,0
,Azure API Management with no authentication.,API Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Scheduler with open job access.,Access Control,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Identity with weak MFA policy.,Authentication,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Security Group with open ports.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud SLB with HTTP instead of HTTPS.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS CloudFormation with hardcoded secrets.,Data Exposure,AWS,25,0,0,0,1,0,0,0,0,0
,Azure Synapse Analytics with public access.,Network Security,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud Functions with outdated runtime.,Patch Management,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud API Gateway with no rate limiting.,API Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with exposed dashboard.,Access Control,IBM Cloud,30,0,1,0,0,0,0,0,0,0
,Alibaba Cloud OSS with no versioning enabled.,Data Protection,Alibaba Cloud,0,0,0,0,0,0,0,0,1,0
,AWS Fargate with excessive task role permissions.,IAM Misconfiguration,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Machine Learning with public workspace.,Access Control,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud Monitoring with public dashboard.,Access Control,GCP,30,0,1,0,0,0,0,0,0,0
,Oracle Cloud Object Storage with no logging.,Monitoring,Oracle Cloud,0,0,0,0,0,0,0,0,1,0
,IBM Cloud Activity Tracker disabled.,Monitoring,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with weak password policy.,Authentication,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS Glue with public data catalog access.,Access Control,AWS,30,0,1,0,0,0,0,0,0,0
,Azure Stream Analytics with no encryption.,Encryption,Azure,25,0,0,0,0,0,1,0,0,0
,GCP Cloud Armor with no security policy.,Network Security,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud Compute with outdated OS image.,Patch Management,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Flow Logs disabled.,Monitoring,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with no disk encryption.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS ElastiCache with no AUTH token.,Authentication,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Databricks with public cluster access.,Access Control,Azure,30,0,1,0,0,0,0,0,0,0
,GCP Cloud VPN with weak pre-shared key.,Encryption,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Functions with public invoke.,Access Control,Oracle Cloud,30,0,1,0,0,0,0,0,0,0
,IBM Cloud Object Storage with no encryption.,Encryption,IBM Cloud,25,0,0,0,0,0,1,0,1,0
,Alibaba Cloud CDN with no HTTPS enforcement.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS CodeBuild with public build logs.,Data Exposure,AWS,55,0,1,0,1,0,0,0,0,0
,Azure Cognitive Services with open API key.,Data Exposure,Azure,25,0,0,0,1,0,0,0,0,0
,GCP Cloud Spanner with no backup policy.,Data Protection,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud VCN with no flow logs.,Monitoring,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with no pod security policy.,Security Policy,IBM Cloud,0,0,0,0,0,0,0,1,0,0
,Alibaba Cloud ECS with public snapshot access.,Access Control,Alibaba Cloud,30,0,1,0,0,0,0,0,0,0
,AWS S3 bucket with no MFA delete enabled.,Data Protection,AWS,0,0,0,0,0,0,0,0,1,0
,Azure Blob Storage with no soft delete.,Data Protection,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Compute Engine with no shielded VMs.,Security Policy,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud Database with no audit logging.,Monitoring,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud VPC with no encryption.,Encryption,IBM Cloud,25,0,0,0,0,0,1,0,0,0
,Alibaba Cloud RAM with no password rotation.,Authentication,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS Lambda with no VPC configuration.,Network Security,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Kubernetes with no RBAC enabled.,Access Control,Azure,0,0,0,0,0,0,0,1,0,0
,GCP Cloud Storage with no uniform bucket-level access.,Access Control,GCP,0,0,0,0,0,0,0,0,1,0
,Oracle Cloud Load Balancer with no WAF.,Security Policy,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Functions with no logging.,Monitoring,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with no lifecycle policy.,Data Protection,Alibaba Cloud,0,0,0,0,0,0,0,1,1,0
,AWS RDS with no automated backups.,Data Protection,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Cosmos DB with no IP filtering.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Pub/Sub with no encryption.,Encryption,GCP,25,0,0,0,0,0,1,0,0,0
,Oracle Cloud Compute with no boot volume encryption.,Encryption,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with no bucket lock.,Data Protection,IBM Cloud,0,0,0,0,0,0,0,0,1,0
,Alibaba Cloud ECS with no monitoring agent.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS SNS with no encryption.,Encryption,AWS,25,0,0,0,0,0,1,0,0,0
,Azure Virtual Network with no DDoS protection.,Network Security,Azure,10,0,0,0,0,1,0,0,0,0
,GCP Cloud SQL with no SSL enforcement.,Encryption,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with no encryption.,Encryption,Oracle Cloud,25,0,0,0,0,0,1,0,0,0
,IBM Cloud VPC with no ACL rules.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud RAM with no MFA.,Authentication,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS API Gateway with no throttling.,API Security,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Key Vault with no purge protection.,Data Protection,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Service Account with no key rotation.,Authentication,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud Identity with no password policy.,Authentication,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Databases with no backup.,Data Protection,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud SLB with no health checks.,Security Policy,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS ECS with no logging.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Data Lake with no encryption.,Encryption,Azure,25,0,0,0,0,0,1,0,0,0
,GCP Cloud Run with no concurrency limit.,Resource Control,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud API Gateway with no CORS policy.,API Security,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Kubernetes with no network policy.,Network Security,IBM Cloud,0,0,0,0,0,0,0,1,0,0
,Alibaba Cloud Function Compute with no VPC.,Network Security,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS Redshift with no encryption.,Encryption,AWS,25,0,0,0,0,0,1,0,0,0
,Azure Event Hub with no partition key encryption.,Encryption,Azure,0,0,0,0,0,0,0,0,0,0
,GCP BigQuery with no CMEK encryption.,Encryption,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Block Volume with no backup policy.,Data Protection,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Security Advisor disabled.,Monitoring,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with no access logging.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,1,0
,AWS EC2 instance with no IMDSv2 enforcement.,Security Policy,AWS,0,0,0,0,0,0,0,1,0,0
,Azure Function with no CORS policy.,API Security,Azure,0,0,0,0,0,0,0,1,0,0
,GCP Kubernetes Engine with legacy authorization enabled.,Authentication,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with no security list.,Network Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with no retention policy.,Data Protection,IBM Cloud,0,0,0,0,0,0,0,1,1,0
,Alibaba Cloud ECS with no anti-DDoS protection.,Network Security,Alibaba Cloud,10,0,0,0,0,1,0,0,0,0
,AWS SQS with no server-side encryption.,Encryption,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Virtual Machine with no disk encryption.,Encryption,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Storage with no audit logging.,Monitoring,GCP,0,0,0,0,0,0,0,0,1,0
,Oracle Cloud Database with no TDE encryption.,Encryption,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud VPC with no security group.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud RAM with no resource-level permissions.,IAM Misconfiguration,Alibaba Cloud,0,1,0,0,0,0,0,1,0,0
,AWS DynamoDB with no point-in-time recovery.,Data Protection,AWS,0,0,0,0,0,0,0,0,0,0
,Azure App Service with no authentication.,Authentication,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Functions with no memory limit.,Resource Control,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with no network security group.,Network Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with no image security scanning.,Security Policy,IBM Cloud,0,0,0,0,0,0,0,1,0,0
,Alibaba Cloud OSS with no server-side encryption.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,1,0
,AWS Lambda with no dead-letter queue.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure SQL Database with no auditing.,Monitoring,Azure,0,0,0,0,0,0,0,1,0,0
,GCP Cloud Build with no service account restrictions.,IAM Misconfiguration,GCP,0,1,0,0,0,0,0,1,0,0
,Oracle Cloud Object Storage with no WORM policy.,Data Protection,Oracle Cloud,0,0,0,0,0,0,0,1,1,0
,IBM Cloud Functions with no timeout limit.,Resource Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud VPC with no flow log.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS EKS with no pod security standards.,Security Policy,AWS,0,0,0,0,0,0,0,1,0,0
,Azure API Management with no rate limiting.,API Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud DNS with no DNSSEC.,Security Policy,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud Identity with no session timeout.,Authentication,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud VPC with no endpoint gateway restrictions.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud RDS with no SSL enforcement.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS CloudTrail with no log file validation.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Synapse Analytics with no private endpoint.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Functions with no ingress settings.,Network Security,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Load Balancer with no access logging.,Monitoring,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Databases with no connection pooling.,Resource Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with no auto-scaling limits.,Resource Control,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS Fargate with no resource limits.,Resource Control,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Machine Learning with no private link.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Monitoring with no alert policies.,Monitoring,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Functions with no resource limits.,Resource Control,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Object Storage with no CORS restrictions.,API Security,IBM Cloud,0,0,0,0,0,0,0,0,1,0
,Alibaba Cloud SLB with no session persistence.,Security Policy,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS Glue with no encryption for data at rest.,Encryption,AWS,25,0,0,0,0,0,1,0,0,0
,Azure Stream Analytics with no private endpoint.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Armor with no rate limiting.,API Security,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud VCN with no DDoS protection.,Network Security,Oracle Cloud,10,0,0,0,0,1,0,0,0,0
,IBM Cloud Kubernetes with no audit logging.,Monitoring,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with no request rate limiting.,API Security,Alibaba Cloud,0,0,0,0,0,0,0,0,1,0
,AWS CodeBuild with no artifact encryption.,Encryption,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Cognitive Services with no private endpoint.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Spanner with no audit logging.,Monitoring,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud API Gateway with no authentication.,API Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Security Group with no egress rules.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with no backup policy.,Data Protection,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS ElastiCache with no encryption in transit.,Encryption,AWS,25,0,0,0,0,0,1,0,0,0
,Azure Databricks with no encryption for data at rest.,Encryption,Azure,25,0,0,0,0,0,1,0,0,0
,GCP Cloud VPN with no logging.,Monitoring,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with no access control.,Access Control,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Databases with no auto-scaling limits.,Resource Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud Function Compute with no logging.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS IAM policy with wildcard resource permissions.,IAM Misconfiguration,AWS,0,1,0,0,0,0,0,1,1,0
,Azure Blob Storage with no versioning enabled.,Data Protection,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Compute Engine with no disk encryption.,Encryption,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Functions with no network isolation.,Network Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud VPC with no subnet ACL.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with no firewall rules.,Network Security,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS RDS with no deletion protection.,Data Protection,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Key Vault with no soft delete enabled.,Data Protection,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud SQL with no backup configuration.,Data Protection,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Database with no network access control.,Network Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Functions with no memory limits.,Resource Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud OSS with no access control list.,Access Control,Alibaba Cloud,0,0,0,0,0,0,0,0,1,0
,AWS API Gateway with no logging enabled.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Virtual Network with no network security group.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Run with no CPU limits.,Resource Control,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Load Balancer with no rate limiting.,API Security,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Kubernetes with no container runtime security.,Security Policy,IBM Cloud,0,0,0,0,0,0,0,1,0,0
,Alibaba Cloud RDS with no audit logging.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS S3 bucket with no access logging.,Monitoring,AWS,0,0,0,0,0,0,0,0,1,0
,Azure Cosmos DB with no partition key encryption.,Encryption,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Pub/Sub with no message retention policy.,Data Protection,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud File Storage with no snapshot policy.,Data Protection,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud VPC with no encryption for volumes.,Encryption,IBM Cloud,25,0,0,0,0,0,1,0,0,0
,Alibaba Cloud ECS with no instance metadata protection.,Security Policy,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS ECS with no task execution role restrictions.,IAM Misconfiguration,AWS,0,1,0,0,0,0,0,1,0,0
,Azure Data Lake with no access logging.,Monitoring,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Composer with no private IP.,Network Security,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Compute with no secure boot.,Security Policy,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Databases with no query logging.,Monitoring,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud Function Compute with no timeout.,Resource Control,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS Redshift with no logging enabled.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Event Hub with no access control.,Access Control,Azure,0,0,0,0,0,0,0,0,0,0
,GCP BigQuery with no access control policy.,Access Control,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud Object Storage with no encryption.,Encryption,Oracle Cloud,25,0,0,0,0,0,1,0,1,0
,IBM Cloud Security Group with no ingress rules.,Network Security,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud SLB with no SSL certificate.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS CloudFormation with no stack policy.,Security Policy,AWS,0,0,0,0,0,0,0,1,0,0
,Azure Synapse Analytics with no encryption.,Encryption,Azure,25,0,0,0,0,0,1,0,0,0
,GCP Cloud Build with no artifact encryption.,Encryption,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud VPN with no IPSec encryption.,Encryption,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud Functions with no access control.,Access Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with no security monitoring.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS KMS with no key rotation enabled.,Security Policy,AWS,0,0,0,0,0,0,0,1,0,0
,Azure Redis Cache with no firewall rules.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud DNS with no logging enabled.,Monitoring,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Block Volume with no snapshot encryption.,Encryption,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud VPC with no public gateway restrictions.,Network Security,IBM Cloud,30,0,1,0,0,0,0,0,0,0
,Alibaba Cloud RDS with no backup encryption.,Encryption,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
,AWS SNS with no topic policy.,Access Control,AWS,0,0,0,0,0,0,0,1,0,0
,Azure Virtual Machine with no security updates.,Patch Management,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Scheduler with no retry policy.,Security Policy,GCP,0,0,0,0,0,0,0,1,0,0
,Oracle Cloud Identity with no group-based access control.,Access Control,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Kubernetes with no encryption for secrets.,Encryption,IBM Cloud,50,0,0,0,1,0,1,0,0,0
,Alibaba Cloud OSS with no bucket policy.,Access Control,Alibaba Cloud,0,0,0,0,0,0,0,1,1,0
,AWS Fargate with no logging configuration.,Monitoring,AWS,0,0,0,0,0,0,0,0,0,0
,Azure Machine Learning with no audit logging.,Monitoring,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud Functions with no environment variable encryption.,Encryption,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud Load Balancer with no health checks.,Security Policy,Oracle Cloud,0,0,0,0,0,0,0,1,0,0
,IBM Cloud Databases with no access control.,Access Control,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud ECS with no anti-malware protection.,Security Policy,Alibaba Cloud,0,0,0,0,0,0,0,1,0,0
,AWS ElastiCache with no backup policy.,Data Protection,AWS,0,0,0,0,0,0,0,1,0,0
,Azure Databricks with no private endpoint.,Network Security,Azure,0,0,0,0,0,0,0,0,0,0
,GCP Cloud VPN with no audit logging.,Monitoring,GCP,0,0,0,0,0,0,0,0,0,0
,Oracle Cloud File Storage with no versioning.,Data Protection,Oracle Cloud,0,0,0,0,0,0,0,0,0,0
,IBM Cloud VPC with no monitoring enabled.,Monitoring,IBM Cloud,0,0,0,0,0,0,0,0,0,0
,Alibaba Cloud Function Compute with no access logging.,Monitoring,Alibaba Cloud,0,0,0,0,0,0,0,0,0,0
